,ProjectNumber,AgencyName,RecipientName,USD_Disbursement,USD_Commitment,LongDescription,ProjectTitle,ExpectedStartDate,CompletionDate,Aid_t,PurposeCode
0,01BC20001A,Federal Ministry of Education and Research,Egypt,0.069525,0.54535,"VR-REPAIR - Joint project: Combined cycle power plant cluster in Egypt for workplace-based skilled worker competence development in virtual and real learning space, subproject: Competence development in Mixed-Reality Learning Space - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-06-15,2024-06-30,D02,23181.0
1,01BC20001C,Federal Ministry of Education and Research,Egypt,0.012043,0.116976,"VR-REPAIR - Joint project: Combined cycle power plant cluster in Egypt for workplace-based skilled worker competence development in virtual and real learning space, subproject: Virtual twin of the Ehrler test box - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-08-01,2024-07-31,D02,23181.0
2,01BC20001D,Federal Ministry of Education and Research,Egypt,0.012832,0.118434,"VR-REPAIR - Joint project: Combined cycle power plant cluster in Egypt for workplace-based skilled worker competence development in virtual and real learning space, subproject: Coating and accompanying preparatory work - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-08-01,2024-07-31,D02,23181.0
3,01BC20001E,Federal Ministry of Education and Research,Egypt,0.05504,0.36459,"VR-REPAIR - Joint project: Combined cycle power plant cluster in Egypt for workplace-based skilled worker competence development in virtual and real learning space, subproject: Analysis and evaluation - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-06-15,2024-06-30,D02,23181.0
4,01BE17002A,Federal Ministry of Education and Research,China (People's Republic of),0.306452,0.326143,"Joint project - Vocational Training Centre for Agriculture - Jiangxi, sub-project - Intercultural and administrative Management of the Project - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-09-15,2021-12-31,D02,31181.0
5,01BE17002B,Federal Ministry of Education and Research,China (People's Republic of),0.272537,0.322209,"Joint project - Vocational Training Centre for Agriculture - Jiangxi, sub-project - Training Centre, specialist teaching - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-09-15,2021-12-31,D02,31181.0
6,01BE17002C,Federal Ministry of Education and Research,China (People's Republic of),0.297753,0.302107,"Joint project - Vocational Training Centre for Agriculture - Jiangxi, sub-project - Intercultural Project Control and Public Relations - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-09-15,2022-03-31,D02,31181.0
7,01BE17002D,Federal Ministry of Education and Research,China (People's Republic of),0.263402,0.304747,"Joint project - Vocational Training Centre for Agriculture - Jiangxi, sub-project - Trust in Professional Consultation - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-09-15,2021-12-31,D02,31181.0
8,01BE17002E,Federal Ministry of Education and Research,China (People's Republic of),0.333364,0.350607,"Joint project - Vocational Training Centre for Agriculture - Jiangxi, sub-project - Supporting scientific research - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-09-15,2021-12-31,D02,31181.0
9,01BE17004A,Federal Ministry of Education and Research,Kazakhstan,0.413639,0.0,"Project - Transfer of vocational training in logistics, mechatronics and sustainable energy supply to Kazakhstan / Subproject - Establishment of an education and training center in Kazakhstan - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2021-03-31,D02,11330.0
10,01BE17004B,Federal Ministry of Education and Research,Kazakhstan,0.19976100000000002,0.0,"Projekt - Transfer of vocational training in logistics, mechatronics and sustainable energy supply to Kazakhstan /Subproject - Development and implementation of personnel certification and practice orientated training programs for trainees and Trainer - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2021-03-31,D02,11330.0
11,01BE17004C,Federal Ministry of Education and Research,Kazakhstan,0.8562129999999999,0.0,"Project - Transfer of vocational training in logistics, mechatronics and sustainable energy supply to Kazakhstan / Subproject - Scientific Supervision and Development of practice-oriented Education and Training Programms for the fields of Mechatronics, Logistics and Renewable Energy Technologies - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2021-06-30,D02,11330.0
12,01BE17005A,Federal Ministry of Education and Research,Serbia,0.62359,0.0,"The cooperative project NEMID stands for a demand-driven development and piloting implementation of a dual vocational school in Serbia. It consists of 3 sub-projects - 1. Set-up and operation of the vocational school, 2. Development and transfer of vocational educative contents, 3. Scientific accompaniment - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-07-31,D02,11330.0
